user_link	video_id	count(*)
https://www.youtube.com/channel/UCbni84a6UZr6FFYWLg1VTNQ	jryzAcxbd9U	2
https://www.youtube.com/channel/UC6PuLBdnLP76Mw8w239OoGA	038o7PrZSdM	2
https://www.youtube.com/channel/UClOju1x_as8w3bd_UsiE9jg	038o7PrZSdM	2
https://www.youtube.com/channel/UCl2iLyq8rnxW_1ZNj8OHLIA	038o7PrZSdM	2
https://www.youtube.com/channel/UCcHWTVRngBu8h1Nw6H5pTxQ	SA0mzqpoVL0	2
https://www.youtube.com/channel/UCslHwO0SDCfabq3K3iWLIpQ	SA0mzqpoVL0	2
https://www.youtube.com/channel/UCPPHMdFh1Bfb3V0q61DTLng	SA0mzqpoVL0	2
https://www.youtube.com/channel/UCfuYmucYzi-02ezoNJr7oKw	eoYoufu1LYQ	2
https://www.youtube.com/channel/UCOzFsNzBGcbM3gAuC8mVkVg	k8ODYg6_G9M	2
https://www.youtube.com/channel/UCws7sHk5vj9vDXQuvfSidYw	hPkZUcN5kaw	2
https://www.youtube.com/channel/UCzMGpe1Il2Y4z-WgcFcS_tw	wUZISF_G5Mg	2
https://www.youtube.com/channel/UCYOyemUQ4b2eQ6mTaPEGjxA	1PCEgZGCcac	2
https://www.youtube.com/channel/UCo2JStrMPKHsRsBWa3JxZ8w	1PCEgZGCcac	2
https://www.youtube.com/channel/UCueQnjJy44UZ1bvl90QtJjQ	1PCEgZGCcac	2
https://www.youtube.com/channel/UCzYlIh5_hmogGGtux_a9BIA	1PCEgZGCcac	2
https://www.youtube.com/channel/UC7pKk1DJW4gfA6gLCoEv4yg	1PCEgZGCcac	2
https://www.youtube.com/channel/UC_I_jUDlNqz8hITgQ6URIfA	1PCEgZGCcac	2
https://www.youtube.com/channel/UC2LYsMM3aHkgbueY6jsm0yw	mcNAEjIqrt0	2
https://www.youtube.com/channel/UCZf__ZF_K4Y-0hX2fTxa6Gg	8XD-C_gpavA	2
https://www.youtube.com/channel/UC05VRa1sDlP-R_Du_ZiwmjQ	2kfPjye56Rc	2
https://www.youtube.com/channel/UC9tdyovdXql0Z5FpcgmwYZQ	mqPE3dtUzLU	2
https://www.youtube.com/channel/UC2FUc5L0Cq0iL96Gx2i2iGw	LpOeKUXWxFo	2
https://www.youtube.com/channel/UCJNuWpEYSGvFUw1r7TMFcHw	LpOeKUXWxFo	2
https://www.youtube.com/channel/UC53uIt2HFzjEXhwGyQvuSsA	LpOeKUXWxFo	2
https://www.youtube.com/channel/UCrzZr_K_exvgKPSUHw1yavw	LpOeKUXWxFo	2
https://www.youtube.com/channel/UCOzFsNzBGcbM3gAuC8mVkVg	_fb_zQSh_yY	2
https://www.youtube.com/channel/UCwdjFsirN0j1Hj9MoSC9Y0Q	_fb_zQSh_yY	2
https://www.youtube.com/channel/UCmarV0afJhkLAZsdkZjK7wg	_fb_zQSh_yY	2
https://www.youtube.com/channel/UCwA3A_fxgQlDe_LkqCRT5SQ	_fb_zQSh_yY	2
https://www.youtube.com/channel/UCotUjwBGALAMkQaAQVg4gdg	_fb_zQSh_yY	2
https://www.youtube.com/channel/UC9tdyovdXql0Z5FpcgmwYZQ	D6b28urNh0I	2
https://www.youtube.com/channel/UCbni84a6UZr6FFYWLg1VTNQ	S6wpFr9yUkQ	2
https://www.youtube.com/channel/UCV0ui0t57lv2k3tOLRjiADg	3zgyyevhTqI	2
https://www.youtube.com/channel/UCLWzqgYm-6p2t1QxDnqL5OQ	lnM8H_IyzG8	2
https://www.youtube.com/channel/UCfVa-xMqq0NeJa_OHNaZQdw	s5gy7YIeJ78	2
https://www.youtube.com/channel/UC9h6lP9wrMZowGeLwBCYaAQ	s5gy7YIeJ78	2
https://www.youtube.com/channel/UCQCL2qfjuIivrbBpuf6COKg	etS3bcgtCJY	2
https://www.youtube.com/channel/UCrBoMXNwJw9PMnB8k-rJcBg	etS3bcgtCJY	2
https://www.youtube.com/channel/UCeLS-oPRtAGf5K8ZXPRBeFw	iBYXpwgwRBE	2
https://www.youtube.com/channel/UCSvG3qeTbrMgdpg34Ssdnzw	OQUnPdhtG7o	2
https://www.youtube.com/channel/UC0P3ByGFd5sJyiDK3GuGeSA	GbwveJOGNC4	2
https://www.youtube.com/channel/UC-56o_qpxIQqDhInR_EEcuA	qPO5wKczxiQ	2
https://www.youtube.com/channel/UCmDO3DazKrlkunlnaxmUvng	qPO5wKczxiQ	2
https://www.youtube.com/channel/UCQCL2qfjuIivrbBpuf6COKg	hsjxRDS0_F0	2
https://www.youtube.com/channel/UCY19dy3pkAES8IGaOQqgSug	UDjzTfNjsQ4	2
https://www.youtube.com/channel/UCotUjwBGALAMkQaAQVg4gdg	UDjzTfNjsQ4	2
https://www.youtube.com/channel/UCQCL2qfjuIivrbBpuf6COKg	rkJXJ2AST5g	2
https://www.youtube.com/channel/UCS1s6PpPwQGgP_Bc4SkK9tw	rkJXJ2AST5g	2
https://www.youtube.com/channel/UCFiVkBlevrqCg5vcbJSkJeA	hPvmyOv3P4w	2
https://www.youtube.com/channel/UCQCL2qfjuIivrbBpuf6COKg	hPvmyOv3P4w	2
https://www.youtube.com/channel/UCBy_1NeOv57dVEOzFWYK0_g	Pg_gWTjxvk0	2
https://www.youtube.com/channel/UCbni84a6UZr6FFYWLg1VTNQ	vYFo04PwxcE	2
https://www.youtube.com/channel/UCFOQZW6qnxkeXwU-natBNtQ	os2uXSzPQs4	2
https://www.youtube.com/channel/UC9SZNgjko53jND1KIfEWVUw	I2SPVaPJZWQ	2
https://www.youtube.com/channel/UC1WMxloJ5Z3FQsIgWEycSHg	JBwuhjbgYns	2
https://www.youtube.com/channel/UCPPHMdFh1Bfb3V0q61DTLng	N9iwPoXadA4	2
https://www.youtube.com/channel/UCCqImgbVnI9kU1T6m2w6nhg	8OkzdkWjbLM	2
https://www.youtube.com/channel/UCGXsRIV0UeeoUqkjg3PDHng	xa9aP5ej7b4	2
https://www.youtube.com/channel/UCHyly-UzewXoBu7uxX194HA	MmWRxi8KirI	2
https://www.youtube.com/channel/UCI3KXRcJkDD50jdJLaeR6VA	MmWRxi8KirI	2
https://www.youtube.com/channel/UCQCL2qfjuIivrbBpuf6COKg	u4FKN_jU-mE	2
